                                                       Access privileges
 aggregated_ild | ild_hourly_detailed_201508_6002  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201508_6003  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201508_6004  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201508_6005  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201508_6006  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201508_75    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201509_10001 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201509_10002 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201509_10003 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201509_10004 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201509_10005 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201509_10006 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201509_113   | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201509_12001 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201509_27    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201509_46    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201509_6001  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201509_6002  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201509_6003  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201509_6004  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201509_6005  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201509_6006  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201509_7001  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201509_75    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201510_10001 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201510_10002 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201510_10003 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201510_10004 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201510_10005 | table | arbtrucks=arwdDxt/arbtrucks+| 
